title,artist,year,genre
Ma Tiger Lily,Arthur Collins,1900.0,pop
Ma Blushin' Rosie,Albert Campbell,1900.0,pop
When Cloe Sings a Song,George J Gaskin,1900.0,pop
Because,Haydn Quartet,1900.0,pop
When You Were Sweet Sixteen,George J Gaskin,1900.0,pop
I Want to Be a Military Man,Louis Bradfield,1900.0,pop
Mandy Lee,Arthur Collins,1900.0,pop
When You Were Sweet Sixteen,Jere Mahoney,1900.0,pop
Ma Tiger Lily,Len Spencer,1900.0,pop
A Bird in a Gilded Cage,Jere Mahoney,1900.0,pop
A Bird in a Gilded Cage,Steve Porter,1900.0,pop
Old Folks at Home (Way Down Upon the Swanee River),Vess Ossman,1900.0,pop
A Coon Band Contest,Vess Ossman,1900.0,pop
The Holy City,Harry MacDonough,1900.0,pop
I Can't Tell Why I Love You But I Do,Harry MacDonough,1900.0,pop
In the Shadow of the Pines,Byron G Harlan & AD Madeira,1900.0,pop
Mandy Lee,Albert Campbell,1900.0,pop
When We are Married,Harry MacDonough & Grace Spencer,1900.0,pop
My Sunny Southern Home,Harry MacDonough,1900.0,pop
When Reuben Comes to Town,Dan Quinn,1900.0,pop
A Bird in a Gilded Cage,Harry MacDonough,1900.0,pop
"Good-Bye, Dolly Gray",JW Myers,1900.0,pop
If it Wasn't For The 'Ouses in Between,Gus Glen,1900.0,pop
My Wild Irish Rose,Harry MacDonough,1900.0,pop
San Francisco Sadie,Dan Quinn,1900.0,pop
A Night Trip to Buffalo,American Quartet,1900.0,pop
Soldiers of The Queen,Arthur Christian,1900.0,pop
Little Brown Jug,Steve Porter,1900.0,pop
If You Were Only Mine,Albert Campbell,1900.0,pop
Mandy Lee,Harry MacDonough,1900.0,pop
I'd Leave My Happy Home for You,Edward M Favor,1900.0,pop
The Miner's Dream of Home,Peter Dawson,1900.0,pop
I Love You Just the Same,Harry MacDonough,1900.0,pop
Nothing's Too Good for the Irish,Dan Quinn,1900.0,pop
La Paimpolaise,Felix Mayol,1900.0,pop
Le Trottoir De L'exposition,Polin,1900.0,pop
Stars & Stripes Forever,Sousa's Band,1901.0,pop
American Patrol,Sousa's Band,1901.0,pop
When Reuben Comes to Town,S H Dudley,1901.0,pop
Absence Makes the Heart Grow Fonder,Harry MacDonough,1901.0,pop
"Any Old Place I Hang My Hat is Home, Sweet Home To Me",Will Denny,1901.0,pop
"Good Evening, Carrie",Dan Quinn,1901.0,pop
"Hello Central, Give Me Heaven",Byron G Harlan,1901.0,pop
Uncle Josh's Huskin' Bee Dance,Cal Stewart,1901.0,pop
Jim Lawson's Horse Trade with Deacon Witherspoon,Cal Stewart,1901.0,pop
The Tale of the Bumble Bee,Harry MacDonough,1901.0,pop
Knocked 'Em in The Old Kent Road,Jack Morrison,1901.0,pop
