title,artist,year,genre
There Are Such Things,Tommy Dorsey and His Orchestra,1942.0,rnb
White Christmas,Bing Crosby,1942.0,rnb
I Had the Craziest Dream,Harry James and His Orchestra,1942.0,rnb
Mr. Five by Five,Freddie Slack and His Orchestra,1942.0,rnb
Trav'lin' Light,Paul Whiteman & His Orchestra,1942.0,rnb
When the Lights Go On Again (All Over the World),Lucky Millinder and His Orchestra,1942.0,rnb
Cow-Cow Boogie,Freddie Slack and His Orchestra,1942.0,rnb
Brazil (Aquarela Do Brasil),Jimmy Dorsey and His Orchestra,1942.0,rnb
Stormy Monday Blues,Earl Hines and His Orchestra,1942.0,rnb
Take It and Git,Andy Kirk and His Clouds of Joy,1942.0,rnb
What's the Use of Getting Sober (When You Gonna Get Drunk Again),Louis Jordan,1942.0,rnb
That Ain't Right,The King Cole Trio,1942.0,rnb
I'm Gonna Leave You on The Outskirts Of Town,Louis Jordan & His Tympany Five,1942.0,rnb
Ev'ry Night About This Time,The Ink Spots,1942.0,rnb
The Jitterbug Waltz,Fats Waller,1942.0,rnb
See See Rider Blues,Bea Booze,1942.0,rnb
C Blue,Barney Bigard,1942.0,rnb
Let Me Play with Your Poodle,Tampa Red,1942.0,rnb
Bicycle Bounce,Erskine Hawkins and His Orchestra,1942.0,rnb
Just Kiddin' Around,Artie Shaw and His Orchestra,1942.0,rnb
Let's Be Friends,Lil Green,1942.0,rnb
Praise the Lord and Pass the Ammunition,The Southern Sons,1942.0,rnb
It Had to Be You,Jimmie Lunceford and His Orchestra,1942.0,rnb
This Is Worth Fighting For,The Ink Spots,1942.0,rnb
Things Ain't What They Used to Be,Charlie Barnet and His Orchestra,1942.0,rnb
"Hayfoot, Strawfoot",Duke Ellington,1942.0,rnb
Just as Though You Were Here,The Ink Spots,1942.0,rnb
See See Rider Blues,Bea Booze,1943.0,rnb
You'll Never Know,Dick Haymes,1943.0,rnb
My Heart Tells Me (Should I Believe My Heart?),Glen Gray and the Casa Loma Orchestra,1943.0,rnb
Don't Get Around Much Anymore,The Ink Spots,1943.0,rnb
I've Heard That Song Before,Harry James and His Orchestra,1943.0,rnb
"Don't Cry, Baby",Erskine Hawkins and His Orchestra,1943.0,rnb
Paper Doll,The Mills Brothers,1943.0,rnb
Sweet Slumber,Lucky Millinder & His Orchestra,1943.0,rnb
Shoo-Shoo Baby,Ella Mae Morse,1943.0,rnb
Don't Get Around Much Anymore (Never No Lament),Duke Ellington,1943.0,rnb
I Can't Stand Losing You,The Ink Spots,1943.0,rnb
What's The Use Of Getting Sober (When You Gonna Get Drunk Again),Louis Jordan & His Tympany Five,1943.0,rnb
All for You,The King Cole Trio,1943.0,rnb
That Ain't Right,The King Cole Trio,1943.0,rnb
Apollo Jump,Lucky Millinder and His Orchestra,1943.0,rnb
"Sunday, Monday or Always",Bing Crosby,1943.0,rnb
It Started All Over Again,Tommy Dorsey and His Orchestra,1943.0,rnb
I'll Be Home for Christmas (If Only in My Dreams),Bing Crosby,1943.0,rnb
Sentimental Lady,Duke Ellington,1943.0,rnb
There Are Such Things,Tommy Dorsey Orchestra,1943.0,rnb
A Slip of the Lip (Can Sink a Ship),Duke Ellington,1943.0,rnb
Pistol Packin' Mama,Al Dexter,1943.0,rnb
